"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","02.11.2021 02:00 - 02.11.2021 03:00 (CET/CEST)","339","n/e","n/e","n/e","2503","96","207","n/e","n/e","n/e","","2594","3402","835","n/e","40217","n/e","n/e","0","244","n/e","4874"
"France (FR)","02.11.2021 03:00 - 02.11.2021 04:00 (CET/CEST)","337","n/e","n/e","n/e","2574","227","207","n/e","n/e","n/e","","2759","3388","766","n/e","39896","n/e","n/e","0","243","n/e","4513"
"France (FR)","02.11.2021 04:00 - 02.11.2021 05:00 (CET/CEST)","336","n/e","n/e","n/e","2808","365","207","n/e","n/e","n/e","","2722","3385","750","n/e","40054","n/e","n/e","0","244","n/e","4364"
"France (FR)","02.11.2021 05:00 - 02.11.2021 06:00 (CET/CEST)","335","n/e","n/e","n/e","4134","529","206","n/e","n/e","n/e","","1362","3417","788","n/e","40486","n/e","n/e","0","239","n/e","4172"
"France (FR)","02.11.2021 06:00 - 02.11.2021 07:00 (CET/CEST)","340","n/e","n/e","n/e","5757","631","209","n/e","n/e","n/e","","1","3540","1061","n/e","41379","n/e","n/e","0","239","n/e","4025"
"France (FR)","02.11.2021 07:00 - 02.11.2021 08:00 (CET/CEST)","342","n/e","n/e","n/e","6557","1023","211","n/e","n/e","n/e","499","","3718","1220","n/e","41793","n/e","n/e","195","238","n/e","3954"
"France (FR)","02.11.2021 08:00 - 02.11.2021 09:00 (CET/CEST)","341","n/e","n/e","n/e","6760","1404","210","n/e","n/e","n/e","852","","3974","1471","n/e","42018","n/e","n/e","669","237","n/e","3670"
"France (FR)","02.11.2021 09:00 - 02.11.2021 10:00 (CET/CEST)","340","n/e","n/e","n/e","6544","1655","210","n/e","n/e","n/e","948","","4033","1206","n/e","42175","n/e","n/e","1832","235","n/e","3496"
"France (FR)","02.11.2021 10:00 - 02.11.2021 11:00 (CET/CEST)","341","n/e","n/e","n/e","6617","1478","210","n/e","n/e","n/e","","5","4040","1103","n/e","42483","n/e","n/e","3061","232","n/e","3467"
"France (FR)","02.11.2021 11:00 - 02.11.2021 12:00 (CET/CEST)","341","n/e","n/e","n/e","6669","1613","211","n/e","n/e","n/e","","324","3992","1177","n/e","42660","n/e","n/e","3622","232","n/e","3431"
"France (FR)","02.11.2021 12:00 - 02.11.2021 13:00 (CET/CEST)","341","n/e","n/e","n/e","6586","1523","210","n/e","n/e","n/e","","117","3912","1280","n/e","42670","n/e","n/e","3862","233","n/e","3470"
"France (FR)","02.11.2021 13:00 - 02.11.2021 14:00 (CET/CEST)","338","n/e","n/e","n/e","6776","1543","211","n/e","n/e","n/e","174","","3837","1437","n/e","42662","n/e","n/e","3521","230","n/e","3158"
"France (FR)","02.11.2021 14:00 - 02.11.2021 15:00 (CET/CEST)","343","n/e","n/e","n/e","7254","1563","211","n/e","n/e","n/e","226","","4016","1594","n/e","42641","n/e","n/e","2993","228","n/e","2640"
"France (FR)","02.11.2021 15:00 - 02.11.2021 16:00 (CET/CEST)","341","n/e","n/e","n/e","7462","1513","211","n/e","n/e","n/e","1391","","4147","1840","n/e","42636","n/e","n/e","1934","228","n/e","2156"
"France (FR)","02.11.2021 16:00 - 02.11.2021 17:00 (CET/CEST)","342","n/e","n/e","n/e","7803","1577","320","n/e","n/e","n/e","1977","","4305","2457","n/e","42636","n/e","n/e","822","229","n/e","1808"
"France (FR)","02.11.2021 17:00 - 02.11.2021 18:00 (CET/CEST)","339","n/e","n/e","n/e","7799","1750","455","n/e","n/e","n/e","2185","","4474","2778","n/e","42539","n/e","n/e","252","226","n/e","1916"
"France (FR)","02.11.2021 18:00 - 02.11.2021 19:00 (CET/CEST)","339","n/e","n/e","n/e","7818","1768","807","n/e","n/e","n/e","2682","","4844","3968","n/e","42127","n/e","n/e","0","226","n/e","2181"
"France (FR)","02.11.2021 19:00 - 02.11.2021 20:00 (CET/CEST)","337","n/e","n/e","n/e","7479","1542","867","n/e","n/e","n/e","2404","","4536","3093","n/e","42423","n/e","n/e","0","223","n/e","2342"
"France (FR)","02.11.2021 20:00 - 02.11.2021 21:00 (CET/CEST)","338","n/e","n/e","n/e","7371","1290","516","n/e","n/e","n/e","2093","","4426","1810","n/e","42621","n/e","n/e","0","226","n/e","2385"
